SerialNo,Candidate,Constituency,Party,CriminalCases,Education,Assest,Liabilities
209,Ajay Arjun Singh,SIDHI,INC,,Post Graduate,"Rs 37,54,82,525","Rs 40,00,000, "
210,Ajay Baburam Gupta,THANE,Bharat Jan Aadhar Party,0,Graduate,"Rs 4,62,37,825","Rs 2,23,22,000, "
211,Ajay Bhai,NORTH EAST DELHI,Right to Recall Party,0,10th Pass,"Rs 1,40,88,213","Rs 87,50,871, "
212,Ajay Bhatt,NAINITAL-UDHAMSINGH NAGAR,BJP,0,Graduate Professional,"Rs 1,96,99,529","Rs 0, "
213,Ajay Chakole,RAIPUR,Gondvana Gantantra Party,0,Graduate,"Rs 3,59,14,072","Rs 0, "
214,Ajay Chaudhary,EAST DELHI,Aapki Apni Party (Peoples),0,12th Pass,"Rs 5,59,000","Rs 1,80,000, "
215,Ajay Dahal,DARJEELING,IND,0,12th Pass,"Rs 55,46,008","Rs 0, "
216,Ajay Dubey,MUMBAI NORTH WEST,Jan Adhikar Party,0,Post Graduate,"Rs 5,76,000","Rs 70,000, "
217,Ajay Ghosh,DIAMOND HARBOUR,SUCI(C),,Post Graduate,"Rs 43,35,520","Rs 0, "
218,Ajay Hanumant Londhe,MAVAL,IND,,12th Pass,"Rs 79,339","Rs 3,90,000, "
219,Ajay Karamsing Gavit,NANDURBAR,IND,0,12th Pass,"Rs 78,340","Rs 0, "
220,Ajay Krishna,KODARMA,Rashtriya Jansangharsh Swaraj Party,,12th Pass,"Rs 63,98,000","Rs 0, "
221,Ajay Kumar,ETAWAH,Bhartiya Jan Nayak Party,,Post Graduate,"Rs 42,05,000","Rs 0, "
222,Ajay Kumar,KHERI,BJP,,Graduate Professional,"Rs 4,52,95,455","Rs 0, "
223,Ajay Kumar,UJIARPUR,CPI(M),,Post Graduate,"Rs 94,81,398","Rs 50,000, "
224,Ajay Kumar,FARIDKOT,Indian Democratic Republican Front,0,12th Pass,"Rs 3,66,800","Rs 0, "
225,Ajay Kumar,ALLAHABAD,IND,0,Graduate,"Rs 2,23,46,181","Rs 19,58,107, "
226,Ajay Kumar,JAMUI,Bhartiya Dalit Party,,Post Graduate,"Rs 64,000","Rs 0, "
227,Ajay Kumar,JAMMU,IND,0,Post Graduate,"Rs 17,92,79,000","Rs 33,54,000, "
228,Ajay Kumar Bain,BASIRHAT,SUCI(C),0,Graduate,"Rs 1,19,00,746","Rs 1,50,000, "
229,Ajay Kumar Dixit,KHERI,IND,0,Graduate,"Rs 17,72,410","Rs 0, "
230,Ajay Kumar Mandal,BHAGALPUR,JD(U),0,8th Pass,"Rs 68,01,126","Rs 53,64,747, "
231,Ajay Kumar Sharma,JAUNPUR,Moulik Adhikar Party,0,Post Graduate,"Rs 23,29,000","Rs 0, "
232,Ajay Kumar Sinha,PASCHIM CHAMPARAN,IND,0,Graduate,"Rs 38,59,000","Rs 1,60,000, "
233,Ajay Makan,NEW DELHI,INC,0,Post Graduate,"Rs 24,57,32,926","Rs 0, "
234,Ajay Nishad,MUZAFFARPUR,BJP,,Graduate,"Rs 29,88,67,486","Rs 1,57,14,320, "
